Date,SP500
09-30-2021,4307.54
08-31-2021,4522.6802
07-31-2021,4395.2598
06-30-2021,4297.5
05-31-2021,4204.1099
04-30-2021,4181.1699
03-31-2021,3972.8899
02-28-2021,3811.1499
01-31-2021,3714.24
12-31-2020,3756.0701
11-30-2020,3621.6299
10-31-2020,3269.96
09-30-2020,3363
08-31-2020,3500.3101
07-31-2020,3271.1201
06-30-2020,3100.29
05-31-2020,3044.3101
04-30-2020,2912.4299
03-31-2020,2584.5901
02-29-2020,2954.22
01-31-2020,3225.52
12-31-2019,3230.78
11-30-2019,3140.98
10-31-2019,3037.5601
09-30-2019,2976.74
08-31-2019,2926.46
07-31-2019,2980.3799
06-30-2019,2941.76
05-31-2019,2752.0601
04-30-2019,2945.8301
03-31-2019,2834.3999
02-28-2019,2784.49
01-31-2019,2704.1001
12-31-2018,2506.8501
11-30-2018,2760.1699
10-31-2018,2711.74
09-30-2018,2913.98
08-31-2018,2901.52
07-31-2018,2816.29
06-30-2018,2718.3701
05-31-2018,2705.27
04-30-2018,2648.05
03-31-2018,2640.8701
02-28-2018,2713.8301
01-31-2018,2823.8101
12-31-2017,2673.6101
11-30-2017,2647.5801
10-31-2017,2575.26
09-30-2017,2519.3601
08-31-2017,2471.6499
07-31-2017,2470.3
06-30-2017,2423.4099
05-31-2017,2411.8
04-30-2017,2384.2
03-31-2017,2362.72
02-28-2017,2363.6399
01-31-2017,2278.8701
12-31-2016,2238.8301
11-30-2016,2198.8101
10-31-2016,2126.1499
09-30-2016,2168.27
08-31-2016,2170.95
07-31-2016,2173.6001
06-30-2016,2098.8601
05-31-2016,2096.96
04-30-2016,2065.3
03-31-2016,2059.74
02-29-2016,1932.23
01-31-2016,1940.24
12-31-2015,2043.9399
11-30-2015,2080.4099
10-31-2015,2079.3601
09-30-2015,1920.03
08-31-2015,1972.1801
07-31-2015,2103.8401
06-30-2015,2063.1101
05-31-2015,2107.3899
04-30-2015,2085.51
03-31-2015,2067.8899
02-28-2015,2104.5
01-31-2015,1994.99
12-31-2014,2058.8999
11-30-2014,2067.5601
10-31-2014,2018.05
09-30-2014,1972.29
08-31-2014,2003.37
07-31-2014,1930.67
06-30-2014,1960.23
05-31-2014,1923.5699
04-30-2014,1883.95
03-31-2014,1872.34
02-28-2014,1859.45
01-31-2014,1782.59
12-31-2013,1848.36
11-30-2013,1805.8101
10-31-2013,1756.54
09-30-2013,1681.55
08-31-2013,1632.97
07-31-2013,1685.73
06-30-2013,1606.28
05-31-2013,1630.74
04-30-2013,1597.5699
03-31-2013,1569.1899
02-28-2013,1514.6801
01-31-2013,1498.11
12-31-2012,1426.1899
11-30-2012,1416.1801
10-31-2012,1412.16
09-30-2012,1440.67
08-31-2012,1406.58
07-31-2012,1379.3199
06-30-2012,1362.16
05-31-2012,1310.33
04-30-2012,1397.91
03-31-2012,1408.47
02-29-2012,1365.6801
01-31-2012,1312.41
12-31-2011,1257.61
11-30-2011,1246.96
10-31-2011,1253.3
09-30-2011,1131.42
08-31-2011,1218.89
